AimagName_mng,SoumName_mng,BagName_mng,BagN,PlotName_mng,AimagName,SoumName,Bagname,PlotName,Longitude,Latitude,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
????????,?????????,????-???,4,?????????? ??????,Arhangai,Battsengel,Bayan-Uul,Eezgiitiin hujirt,101.671194400,47.884861110,3,5.4,5.4,3.3,2.9,10.2,1,7,7.6,10.1,4.7,2.8,2.4,7.6
????????,?????????,???????,6,??????????? ??????/????? ?????,Arhangai,Battsengel,Dairbor,Hashaalaagui talbai/Yastiin enger,101.967750000,47.800888890,7.8,2.3,2.3,2.8,2.4,2.6,3.1,4.8,2.3,3.4,1.5,2.2,0.9,1.7
????????,?????????,???,3,??????? ??????,Arhangai,Battsengel,Del,Tuulai tolgoi,101.879472222,47.684333333,0.9,5.6,5.6,4.5,3.8,13.5,0.7,7.1,3.2,6.5,1.9,3,1.3,5
????????,?????????,??????????,1,?????,Arhangai,Battsengel,Ulaanchuluu,Asgat,102.122666700,48.002472220,3.7,5.7,5.7,,5.3,11.8,6,7.6,3.7,9.3,5.2,3.3,2.2,4.8
????????,?????????,?????,2,??????,Arhangai,Battsengel,Hunug,Nuudii,102.211388900,47.976833330,4.1,5.5,5.5,3.2,5.4,10.5,2.6,9.4,6.7,11.7,7.1,3.6,3.2,3.6
????????,?????????,???,5,??? ?????,Arhangai,Battsengel,Tsats,Urt bulag,101.753361100,47.927777780,2.9,4.7,4.7,3.1,2.8,4,4.4,5.2,4.8,4.9,3.6,2.3,1.5,2.5
????????,??????,?????????,4,????? ???,Arhangai,Bulgan,Bayanbulag,Hadat-Uul,101.441416700,47.397583330,2.5,2.2,2.2,9.2,9.2,2.5,3.6,4.6,3.7,13.7,1.6,9.3,12,4.9
????????,??????,???????,2,??????,Arhangai,Bulgan,Zuunmod,Manhan,101.097080000,47.278110000,2.65,2.1,2.1,2.7,2.5,2,3.8,3.9,1.95,11.7,1,5.6,0.7,3.3
????????,??????,?????,3,????,Arhangai,Bulgan,Tamir,Tugs,101.304917000,47.377944000,3.2,1.1,1.1,6.7,3.5,3,2,5.4,2,7.4,0.8,6.4,0.8,2.2
????????,??????,???????,1,??????,Arhangai,Bulgan,Tusgalt,Bunhan,101.124444444,47.251333333,3,0.6,0.6,1,2,2.6,2.3,2.4,1.7,5.5,1.3,5.5,1.9,5.3
????????,?????????,?????,1,??????? ?????,Arhangai,Jargalant,Asait,Bulgiin davaa,100.805638900,48.629444440,9.6,3.9,3.9,4.1,5.4,5.7,1.8,4.8,2.6,8.7,2.4,5.5,6,3.8
????????,?????????,??????????,5,??????????? ??????/????????? ???,Arhangai,Jargalant,Bayantsagaan,Hashaalaagui talbai/Hurengiin bel,100.787416700,48.714611110,2.1,2.1,2.1,2.9,2.3,5.2,2,2.4,1.1,1.8,1.2,2.2,2.2,3.3
????????,?????????,??????,4,??????? ???????,Arhangai,Jargalant,Zuslan,Zurhiin uvuljuu,100.967944400,48.744527780,9.05,6.35,6.35,3.85,2.5,16.2,1.8,2.8,0.6,6.2,1.2,5.8,1,7.7
????????,?????????,?????,2,??? ??????? ??,Arhangai,Jargalant,Hoolt,Hets dabaanii am,100.416666700,48.766666670,8.1,3.1,3.1,2.9,4.8,14.7,3.7,2.8,3.6,5.5,4.2,3.6,4,3.2
????????,?????????,??????-???,3,??? ??????,Arhangai,Jargalant,Erdene-Uul,Shar hundii,100.692833333,48.838333333,7.1,1.2,1.2,2,2.3,7.6,5.7,1.9,0.7,4.4,1,3.1,4,3
????????,?? ?????,????,3,????? ?????,Arhangai,Ihtamir,Bort,Taliin tsohio,100.952750000,47.733583330,1.8,0.5,0.5,2.4,3.6,3.5,2.4,1.7,3.3,4.2,1.4,5.8,0.8,3.1
????????,?? ?????,?????,4,?????? ?????,Arhangai,Ihtamir,Bugat,Dargiin bulag,101.436527800,48.032822220,3.4,4.8,4.8,6.1,3.6,6.2,2,1.9,2.2,2.1,0.6,3.8,0.7,2
????????,?? ?????,??????,6,??????,Arhangai,Ihtamir,Taihar,Hujirt,101.185888900,47.598472220,,,,,,,,2.7,2.5,6.5,0.9,4.6,1,2.3
????????,?? ?????,???-?????,2,???????? ?????,Arhangai,Ihtamir,Han-Undur,Suvargiin enger,100.809472222,47.473361111,1.6,2.4,2.4,6.3,7.8,3.5,2.3,2.7,2.4,7.3,1.7,2.6,1.2,2.3
